region;statistikkvariabel;tid;Folkemengd og kvartalsvise endringar, etter region, statistikkvariabel og tid
0101 Halden;Folketalet ved inngangen av kvartalet;2016K1;30544
0101 Halden;Fødde;2016K1;77
0101 Halden;Døde;2016K1;67
0101 Halden;Fødselsoverskot;2016K1;10
0101 Halden;Innvandring;2016K1;68
0101 Halden;Utvandring;2016K1;24
0101 Halden;Innflytting, innalandsk;2016K1;263
0101 Halden;Utflytting, innalandsk;2016K1;193
0101 Halden;Nettoinnflytting, inkl. inn- og utvandring;2016K1;114
0101 Halden;Folkevekst;2016K1;124
0101 Halden;Folketalet ved utgangen av kvartalet;2016K1;30668
0104 Moss;Folketalet ved inngangen av kvartalet;2016K1;32182
0104 Moss;Fødde;2016K1;92
0104 Moss;Døde;2016K1;77
0104 Moss;Fødselsoverskot;2016K1;15
0104 Moss;Innvandring;2016K1;105
0104 Moss;Utvandring;2016K1;44
0104 Moss;Innflytting, innalandsk;2016K1;412
0104 Moss;Utflytting, innalandsk;2016K1;414
0104 Moss;Nettoinnflytting, inkl. inn- og utvandring;2016K1;59
0104 Moss;Folkevekst;2016K1;74
0104 Moss;Folketalet ved utgangen av kvartalet;2016K1;32256
0105 Sarpsborg;Folketalet ved inngangen av kvartalet;2016K1;54678
0105 Sarpsborg;Fødde;2016K1;140
0105 Sarpsborg;Døde;2016K1;137
0105 Sarpsborg;Fødselsoverskot;2016K1;3
0105 Sarpsborg;Innvandring;2016K1;93
0105 Sarpsborg;Utvandring;2016K1;71
0105 Sarpsborg;Innflytting, innalandsk;2016K1;427
0105 Sarpsborg;Utflytting, innalandsk;2016K1;397
0105 Sarpsborg;Nettoinnflytting, inkl. inn- og utvandring;2016K1;52
0105 Sarpsborg;Folkevekst;2016K1;55
0105 Sarpsborg;Folketalet ved utgangen av kvartalet;2016K1;54733
0106 Fredrikstad;Folketalet ved inngangen av kvartalet;2016K1;78967
0106 Fredrikstad;Fødde;2016K1;206
0106 Fredrikstad;Døde;2016K1;190
0106 Fredrikstad;Fødselsoverskot;2016K1;16
0106 Fredrikstad;Innvandring;2016K1;133
0106 Fredrikstad;Utvandring;2016K1;63
0106 Fredrikstad;Innflytting, innalandsk;2016K1;684
0106 Fredrikstad;Utflytting, innalandsk;2016K1;625
0106 Fredrikstad;Nettoinnflytting, inkl. inn- og utvandring;2016K1;129
0106 Fredrikstad;Folkevekst;2016K1;145
0106 Fredrikstad;Folketalet ved utgangen av kvartalet;2016K1;79112
0111 Hvaler;Folketalet ved inngangen av kvartalet;2016K1;4511
0111 Hvaler;Fødde;2016K1;8
0111 Hvaler;Døde;2016K1;11
0111 Hvaler;Fødselsoverskot;2016K1;-3
0111 Hvaler;Innvandring;2016K1;6
0111 Hvaler;Utvandring;2016K1;8
0111 Hvaler;Innflytting, innalandsk;2016K1;67
0111 Hvaler;Utflytting, innalandsk;2016K1;48
0111 Hvaler;Nettoinnflytting, inkl. inn- og utvandring;2016K1;17
0111 Hvaler;Folkevekst;2016K1;14
0111 Hvaler;Folketalet ved utgangen av kvartalet;2016K1;4525
0118 Aremark;Folketalet ved inngangen av kvartalet;2016K1;1404
0118 Aremark;Fødde;2016K1;4
0118 Aremark;Døde;2016K1;2
0118 Aremark;Fødselsoverskot;2016K1;2
0118 Aremark;Innvandring;2016K1;0
0118 Aremark;Utvandring;2016K1;0
0118 Aremark;Innflytting, innalandsk;2016K1;13
0118 Aremark;Utflytting, innalandsk;2016K1;10
0118 Aremark;Nettoinnflytting, inkl. inn- og utvandring;2016K1;3
0118 Aremark;Folkevekst;2016K1;5
0118 Aremark;Folketalet ved utgangen av kvartalet;2016K1;1409
0119 Marker;Folketalet ved inngangen av kvartalet;2016K1;3610
0119 Marker;Fødde;2016K1;4
0119 Marker;Døde;2016K1;13
0119 Marker;Fødselsoverskot;2016K1;-9
0119 Marker;Innvandring;2016K1;3
0119 Marker;Utvandring;2016K1;1
0119 Marker;Innflytting, innalandsk;2016K1;32
0119 Marker;Utflytting, innalandsk;2016K1;50
0119 Marker;Nettoinnflytting, inkl. inn- og utvandring;2016K1;-16
0119 Marker;Folkevekst;2016K1;-25
0119 Marker;Folketalet ved utgangen av kvartalet;2016K1;3585
