Navn;Index_Value;UB_Snitt;UB
0101 Halden;1,01;48096,50;48386,50
0104 Moss;0,97;48096,50;46874,31
0105 Sarpsborg;1,01;48096,50;48618,95
0106 Fredrikstad;0,98;48096,50;47074,34
0111 Hvaler;0,95;48096,50;45453,79
0118 Aremark;1,24;48096,50;59539,60
0119 Marker;1,09;48096,50;52306,00
0121 Rømskog;1,37;48096,50;65710,83
0122 Trøgstad;1,06;48096,50;50958,38
0123 Spydeberg;1,00;48096,50;48119,57
0124 Askim;1,00;48096,50;48014,81
0125 Eidsberg;1,04;48096,50;49901,63
0127 Skiptvet;1,08;48096,50;51983,07
0128 Rakkestad;1,11;48096,50;53407,05
0135 Råde;1,00;48096,50;47982,45
0136 Rygge;0,97;48096,50;46816,69
0137 Våler;0,99;48096,50;47740,74
0138 Hobøl;0,98;48096,50;47082,34
0211 Vestby;0,97;48096,50;46555,82
0213 Ski;0,99;48096,50;47506,60
0214 Ås;0,96;48096,50;46137,06
0215 Frogn;0,95;48096,50;45577,44
0216 Nesodden;0,96;48096,50;46351,11
0217 Oppegård;0,97;48096,50;46785,37
0219 Bærum;1,01;48096,50;48598,24
0220 Asker;0,99;48096,50;47805,16
0221 Aurskog-Høland;0,98;48096,50;47278,47
0226 Sørum;1,01;48096,50;48346,70
0227 Fet;0,95;48096,50;45477,32
0228 Rælingen;0,94;48096,50;45308,99
0229 Enebakk;0,98;48096,50;47228,36
0230 Lørenskog;0,93;48096,50;44709,40
0231 Skedsmo;0,96;48096,50;46030,31
0233 Nittedal;0,97;48096,50;46806,63
0234 Gjerdrum;0,99;48096,50;47691,73
0235 Ullensaker;0,97;48096,50;46715,91
0236 Nes;0,96;48096,50;46265,90
0237 Eidsvoll;1,00;48096,50;47905,49
0238 Nannestad;0,99;48096,50;47588,00
0239 Hurdal;1,07;48096,50;51531,29
0301 Oslo;0,93;48096,50;44522,39
0402 Kongsvinger;1,01;48096,50;48595,69
0403 Hamar;0,99;48096,50;47484,85
0412 Ringsaker;0,99;48096,50;47621,94
0415 Løten;1,02;48096,50;48873,61
0417 Stange;1,00;48096,50;47977,05
0418 Nord-Odal;1,08;48096,50;51868,61
0419 Sør-Odal;1,00;48096,50;48189,60
0420 Eidskog;1,13;48096,50;54310,31
0423 Grue;1,13;48096,50;54198,08
0425 Åsnes;1,12;48096,50;53973,01
0426 Våler;1,09;48096,50;52579,66
0427 Elverum;0,99;48096,50;47843,65
0428 Trysil;1,14;48096,50;54670,92
0429 Åmot;1,11;48096,50;53446,65
0430 Stor-Elvdal;1,12;48096,50;53759,11
0432 Rendalen;1,26;48096,50;60646,29
0434 Engerdal;1,42;48096,50;68200,50
0436 Tolga;1,26;48096,50;60382,03
0437 Tynset;1,15;48096,50;55455,53
0438 Alvdal;1,18;48096,50;56853,12
0439 Folldal;1,21;48096,50;58186,60
0441 Os;1,21;48096,50;58397,70
0501 Lillehammer;0,98;48096,50;47294,03
0502 Gjøvik;0,97;48096,50;46653,75
0511 Dovre;1,13;48096,50;54439,67
0512 Lesja;1,24;48096,50;59762,92
0513 Skjåk;1,11;48096,50;53412,27
0514 Lom;1,10;48096,50;53033,25
0515 Vågå;1,13;48096,50;54353,96
0516 Nord-Fron;1,06;48096,50;51025,33
0517 Sel;1,10;48096,50;53130,24
0519 Sør-Fron;1,09;48096,50;52406,07
0520 Ringebu;1,11;48096,50;53244,45
0521 Øyer;1,00;48096,50;47934,27
0522 Gausdal;1,05;48096,50;50352,89
0528 Østre Toten;1,03;48096,50;49621,09
0529 Vestre Toten;0,99;48096,50;47576,66
0532 Jevnaker;1,00;48096,50;48036,27
0533 Lunner;1,01;48096,50;48633,62
0534 Gran;1,03;48096,50;49620,59
0536 Søndre Land;1,05;48096,50;50325,20
0538 Nordre Land;1,07;48096,50;51688,84
0540 Sør-Aurdal;1,21;48096,50;58319,25
0541 Etnedal;1,39;48096,50;66641,92
0542 Nord-Aurdal;1,03;48096,50;49640,06
0543 Vestre Slidre;1,13;48096,50;54451,58
0544 Øystre Slidre;1,09;48096,50;52446,73
0545 Vang;1,18;48096,50;56522,48
0602 Drammen;0,99;48096,50;47412,70
0604 Kongsberg;0,97;48096,50;46519,09
0605 Ringerike;0,98;48096,50;47017,35
0612 Hole;1,00;48096,50;48100,47
0615 Flå;1,22;48096,50;58731,61
0616 Nes;1,08;48096,50;52078,05
0617 Gol;1,10;48096,50;52922,48
0618 Hemsedal;1,06;48096,50;51066,45
0619 Ål;1,13;48096,50;54195,40
0620 Hol;1,01;48096,50;48562,85
0621 Sigdal;1,13;48096,50;54359,96
0622 Krødsherad;1,13;48096,50;54178,64
0623 Modum;1,00;48096,50;48296,57
0624 Øvre Eiker;0,99;48096,50;47548,31
0625 Nedre Eiker;0,99;48096,50;47720,73
0626 Lier;0,98;48096,50;47253,60
0627 Røyken;0,97;48096,50;46499,50
0628 Hurum;1,01;48096,50;48399,90
0631 Flesberg;1,16;48096,50;55606,24
0632 Rollag;1,35;48096,50;64850,03
0633 Nore og Uvdal;1,21;48096,50;58313,07
0701 Horten;0,99;48096,50;47458,22
0702 Holmestrand;0,97;48096,50;46613,32
0704 Tønsberg;0,98;48096,50;47179,81
0706 Sandefjord;0,99;48096,50;47800,69
0709 Larvik;1,00;48096,50;48151,38
0711 Svelvik;0,97;48096,50;46861,56
0713 Sande;1,01;48096,50;48372,89
0714 Hof;1,06;48096,50;51213,66
0716 Re;1,02;48096,50;49275,92
0719 Andebu;1,03;48096,50;49658,21
0720 Stokke;0,97;48096,50;46576,23
0722 Nøtterøy;1,00;48096,50;48003,78
0723 Tjøme;0,97;48096,50;46788,95
0728 Lardal;1,06;48096,50;50914,23
0805 Porsgrunn;0,98;48096,50;47155,80
0806 Skien;0,99;48096,50;47535,48
0807 Notodden;1,07;48096,50;51534,60
0811 Siljan;1,07;48096,50;51411,31
0814 Bamble;0,98;48096,50;46921,92
0815 Kragerø;1,03;48096,50;49756,71
0817 Drangedal;1,17;48096,50;56280,59
0819 Nome;1,08;48096,50;51938,61
0821 Bø;1,06;48096,50;51154,01
0822 Sauherad;1,07;48096,50;51423,44
0826 Tinn;1,09;48096,50;52223,49
0827 Hjartdal;1,28;48096,50;61483,64
0828 Seljord;1,14;48096,50;55013,90
0829 Kviteseid;1,16;48096,50;55737,96
0830 Nissedal;1,24;48096,50;59769,93
0831 Fyresdal;1,28;48096,50;61617,74
0833 Tokke;1,16;48096,50;55893,32
0834 Vinje;1,13;48096,50;54183,53
0901 Risør;1,04;48096,50;50209,26
0904 Grimstad;0,99;48096,50;47596,44
0906 Arendal;0,99;48096,50;47726,51
0911 Gjerstad;1,13;48096,50;54283,47
0912 Vegårshei;1,19;48096,50;57237,89
0914 Tvedestrand;1,10;48096,50;52746,82
0919 Froland;1,07;48096,50;51366,31
0926 Lillesand;1,02;48096,50;48982,71
0928 Birkenes;1,09;48096,50;52319,87
0929 Åmli;1,34;48096,50;64327,42
0935 Iveland;1,24;48096,50;59796,16
0937 Evje og Hornnes;1,11;48096,50;53173,84
0938 Bygland;1,35;48096,50;64762,39
0940 Valle;1,24;48096,50;59607,20
0941 Bykle;1,26;48096,50;60835,32
1001 Kristiansand;0,98;48096,50;46933,99
1002 Mandal;1,03;48096,50;49482,26
1003 Farsund;1,01;48096,50;48482,56
1004 Flekkefjord;1,10;48096,50;53023,70
1014 Vennesla;1,01;48096,50;48729,07
1017 Songdalen;1,05;48096,50;50670,93
1018 Søgne;0,99;48096,50;47703,20
1021 Marnardal;1,23;48096,50;59214,58
1026 Åseral;1,39;48096,50;66942,12
1027 Audnedal;1,24;48096,50;59452,94
1029 Lindesnes;1,11;48096,50;53362,56
1032 Lyngdal;1,08;48096,50;51749,69
1034 Hægebostad;1,24;48096,50;59441,33
1037 Kvinesdal;1,13;48096,50;54200,87
1046 Sirdal;1,24;48096,50;59836,19
1101 Eigersund;1,01;48096,50;48412,07
1102 Sandnes;0,95;48096,50;45926,01
1103 Stavanger;0,93;48096,50;44548,88
1106 Haugesund;0,97;48096,50;46806,83
1111 Sokndal;1,13;48096,50;54363,04
1112 Lund;1,12;48096,50;54016,78
